,Player,Pos.,Cap Figure,Base Salary,Likely Incent.,Unlikely Incent.,Trade Bonus,Cap Figure.1,Cap % Team,Cap % League,Notes,Year,Team,Cap %,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Qualifying Offer,Trade Kicker,Rights,Signed Using,Signing Bonus,Likely Incentives,Dead Cap,Age
10,Omari Spellman,PF,"$1,620,480","$1,620,480",-,-,-,"$1,620,480",1.56,1.59,Drafted  / Rookie Scale  SEI-Ankle,2018,Atlanta Hawks,,,,,,,,,,,,,,
11,Vince Carter,SG,"$1,512,601","$2,393,887",-,-,-,"$1,512,601",1.46,1.48,/ Minimum G'teed: $0,2018,Atlanta Hawks,,,,,,,,,,,,,,
12,Jaylen Adams,PG,"$236,854","$236,854",-,-,-,"$236,854",0.23,0.23,/ Minimum,2018,Atlanta Hawks,,,,,,,,,,,,,,
13,Isaac Humphries,C,"$47,371","$47,371",-,-,-,"$47,371",0.05,0.05,/ Minimum,2018,Atlanta Hawks,,,,,,,,,,,,,,
14,Deyonta Davis,C,"$25,637","$25,637",-,-,-,"$25,637",0.02,0.03,RoS  / Minimum,2018,Atlanta Hawks,,,,,,,,,,,,,,
0,Alex Poythress,SF,,,,,,,,,,2018,Atlanta Hawks,,,,,,,,,,,,,,
0,Carmelo Anthony,SF,"$25,534,253","$25,534,253",-,-,-,,,,Waived,2018,Atlanta Hawks,24.65,,,,,,,,,,,,,
1,Jeremy Lin,PG,"$11,819,388","$11,819,388",-,-,-,,,,Waived,2018,Atlanta Hawks,11.41,,,,,,,,,,,,,
2,Jamal Crawford,SG,"$2,304,226","$2,304,226",-,-,-,,,,Waived,2018,Atlanta Hawks,2.22,,,,,,,,,,,,,
3,Jabari Bird,SG,"$1,349,383","$1,349,383",-,-,-,,,,Waived,2018,Atlanta Hawks,1.3,,,,,,,,,,,,,
4,Tyler Zeller,C,"$85,458","$106,974",-,-,-,,,,10-day,2018,Atlanta Hawks,0.08,,,,,,,,,,,,,
5,Deyonta Davis,C,"$85,458","$85,458",-,-,-,,,,10-day,2018,Atlanta Hawks,0.08,,,,,,,,,,,,,
6,Deyonta Davis,C,"$85,458","$85,458",-,-,-,,,,10-day,2018,Atlanta Hawks,0.08,,,,,,,,,,,,,
7,B.J. Johnson,SF,"$47,371","$47,371",-,-,-,,,,10-day,2018,Atlanta Hawks,0.05,,,,,,,,,,,,,
8,B.J. Johnson,SF,"$47,371","$47,371",-,-,-,,,,10-day,2018,Atlanta Hawks,0.05,,,,,,,,,,,,,
9,Jordan Sibert,SG,"$47,371","$47,371",-,-,-,,,,10-day,2018,Atlanta Hawks,0.05,,,,,,,,,,,,,
0,Jeff Teague,PG,"$19,000,000","$19,000,000",-,-,-,"$19,000,000",16.91,17.41,Acquired via Trade,2019,Atlanta Hawks,,,,,,,,,,,,,,
1,Clint Capela,C,"$14,896,552","$14,896,552",-,"$2,000,000",-,"$14,896,552",13.26,13.65,Acquired via Trade  Heel,2019,Atlanta Hawks,,,,,,,,,,,,,,
2,Dewayne Dedmon,C,"$13,333,334","$13,333,334",-,"$300,000",-,"$13,333,334",11.87,12.22,Acquired via Trade,2019,Atlanta Hawks,,,,,,,,,,,,,,
3,De'Andre Hunter,SF,"$7,068,360","$7,068,360",-,-,-,"$7,068,360",6.29,6.48,Drafted  / Rookie Scale  Poison Pill: 7/1/23,2019,Atlanta Hawks,,,,,,,,,,,,,,
4,Trae Young,PG,"$6,273,000","$6,273,000",-,-,-,"$6,273,000",5.58,5.75,Drafted  / Rookie Scale,2019,Atlanta Hawks,,,,,,,,,,,,,,
5,Cam Reddish,SF,"$4,245,720","$4,245,720",-,-,-,"$4,245,720",3.78,3.89,Drafted  / Rookie Scale,2019,Atlanta Hawks,,,,,,,,,,,,,,
6,John Collins,PF,"$2,686,560","$2,686,560",-,-,-,"$2,686,560",2.39,2.46,Drafted  / Rookie Scale,2019,Atlanta Hawks,,,,,,,,,,,,,,
7,Kevin Huerter,SG,"$2,636,280","$2,636,280",-,-,-,"$2,636,280",2.35,2.42,Drafted  / Rookie Scale,2019,Atlanta Hawks,,,,,,,,,,,,,,
8,DeAndre' Bembry,SF,"$2,603,982","$2,603,982",-,-,-,"$2,603,982",2.32,2.39,Drafted  / Rookie Scale  Abdominal,2019,Atlanta Hawks,,,,,,,,,,,,,,
9,Skal Labissiere,PF,"$2,338,847","$2,338,847",-,-,-,"$2,338,847",2.08,2.14,Acquired via Trade  Knee,2019,Atlanta Hawks,,,,,,,,,,,,,,
10,Damian Jones,C,"$2,305,057","$2,305,057",-,-,-,"$2,305,057",2.05,2.11,Acquired via Trade,2019,Atlanta Hawks,,,,,,,,,,,,,,
11,Treveon Graham,SG,"$1,645,357","$1,645,357",-,-,-,"$1,645,357",1.46,1.51,Acquired via Trade,2019,Atlanta Hawks,,,,,,,,,,,,,,
12,Vince Carter,SG,"$1,620,564","$2,564,753",-,-,-,"$1,620,564",1.44,1.48,Free Agent / Minimum  Can Veto Trade,2019,Atlanta Hawks,,,,,,,,,,,,,,
13,Bruno Fernando,C,"$1,400,000","$1,400,000",-,-,-,"$1,400,000",1.25,1.28,Drafted  / Space,2019,Atlanta Hawks,,,,,,,,,,,,,,
14,Brandon Goodwin,PG,"$522,738","$522,738",-,-,-,"$522,738",0.47,0.48,RoS  / Minimum G'teed: $0,2019,Atlanta Hawks,,,,,,,,,,,,,,
0,Charlie Brown Jr.,F,,,,,,,,,,2019,Atlanta Hawks,,,,,,,,,,,,,,
0,Chandler Parsons,SF,"$25,102,511","$25,102,511",-,-,-,,,,Waived,2019,Atlanta Hawks,22.34,,,,,,,,,,,,,
1,Nene Hilario,C,"$2,564,753","$2,564,753",-,-,-,,,,Waived,2019,Atlanta Hawks,2.28,,,,,,,,,,,,,
2,Derrick Walton Jr.,PG,"$1,445,697","$1,445,697",-,-,-,,,,Waived,2019,Atlanta Hawks,1.29,,,,,,,,,,,,,
3,Tyrone Wallace,SG,"$502,491","$502,491",-,-,-,,,,Waived,2019,Atlanta Hawks,0.45,,,,,,,,,,,,,
4,Jaylen Adams,PG,"$100,000","$100,000",-,-,-,,,,Waived,2019,Atlanta Hawks,0.09,,,,,,,,,,,,,
5,Paul Watson,G,"$50,752","$50,752",-,-,-,,,,10-day,2019,Atlanta Hawks,0.05,,,,,,,,,,,,,
0,Danilo Gallinari,PF,"$19,500,000","$19,500,000",-,-,-,"$19,500,000",16.71,17.87,Acquired via S&T,2020,Atlanta Hawks,,,,,,,,,,,,,,
1,Bogdan Bogdanovic,SG,"$18,000,000","$18,000,000",-,-,-,"$18,000,000",15.42,16.49,Free Agent / Space,2020,Atlanta Hawks,,,,,,,,,,,,,,
2,Clint Capela,C,"$17,500,000","$16,000,000","$1,500,000","$500,000",-,"$17,500,000",15.0,16.03,Acquired via Trade,2020,Atlanta Hawks,,,,,,,,,,,,,,
3,Tony Snell,SG,"$12,178,571","$12,178,571",-,"$500,000",-,"$12,178,571",10.44,11.16,Acquired via Trade,2020,Atlanta Hawks,,,,,,,,,,,,,,
4,Louis Williams,SG,"$8,000,000","$8,000,000",-,-,-,"$8,000,000",6.86,7.33,Acquired via Trade,2020,Atlanta Hawks,,,,,,,,,,,,,,
5,De'Andre Hunter,SF,"$7,422,000","$7,422,000",-,-,-,"$7,422,000",6.36,6.8,Drafted  / Rookie Scale  Poison Pill: 7/1/23,2020,Atlanta Hawks,,,,,,,,,,,,,,
6,Trae Young,PG,"$6,571,800","$6,571,800",-,-,-,"$6,571,800",5.63,6.02,Drafted  / Rookie Scale,2020,Atlanta Hawks,,,,,,,,,,,,,,
7,Onyeka Okongwu,PF,"$5,813,640","$5,813,640",-,-,-,"$5,813,640",4.98,5.33,Drafted  / Rookie Scale,2020,Atlanta Hawks,,,,,,,,,,,,,,
8,Kris Dunn,PG,"$4,767,000","$4,767,000",-,-,-,"$4,767,000",4.09,4.37,Free Agent / Room,2020,Atlanta Hawks,,,,,,,,,,,,,,
9,Cam Reddish,SF,"$4,458,000","$4,458,000",-,-,-,"$4,458,000",3.82,4.08,Drafted  / Rookie Scale  SEI-Achilles,2020,Atlanta Hawks,,,,,,,,,,,,,,
10,John Collins,PF,"$4,137,302","$4,137,302",-,-,-,"$4,137,302",3.55,3.79,Drafted  / Rookie Scale,2020,Atlanta Hawks,,,,,,,,,,,,,,
11,Kevin Huerter,SG,"$2,761,920","$2,761,920",-,-,-,"$2,761,920",2.37,2.53,Drafted  / Rookie Scale,2020,Atlanta Hawks,,,,,,,,,,,,,,
12,Brandon Goodwin,PG,"$1,701,593","$1,701,593",-,-,-,"$1,701,593",1.46,1.56,RoS  / Minimum,2020,Atlanta Hawks,,,,,,,,,,,,,,
13,Solomon Hill,SF,"$1,620,564","$2,174,318",-,-,-,"$1,620,564",1.39,1.48,Free Agent / Space,2020,Atlanta Hawks,,,,,,,,,,,,,,
14,Bruno Fernando,PF,"$1,517,981","$1,517,981",-,-,-,"$1,517,981",1.3,1.39,Drafted  / Space,2020,Atlanta Hawks,,,,,,,,,,,,,,
0,Nathan Knight,PF,,,,,,,,,,2020,Atlanta Hawks,,,,,,,,,,,,,,
1,Skylar Mays,SG,,,,,,,,,,2020,Atlanta Hawks,,,,,,,,,,,,,,
0,Khyri Thomas,SG,"$744,684","$744,684",-,-,-,,,,Waived,2020,Atlanta Hawks,0.64,,,,,,,,,,,,,
0,John Collins,PF,"$23,000,000","$23,000,000",-,-,-,"$23,000,000",17.32,20.46,Free Agent / Bird,2021,Atlanta Hawks,,,,,,,,,,,,,,
1,Danilo Gallinari,PF,"$20,475,000","$20,475,000",-,-,-,"$20,475,000",15.42,18.21,Acquired via S&T,2021,Atlanta Hawks,,,,,,,,,,,,,,
2,Bogdan Bogdanovic,SG,"$18,000,000","$18,000,000",-,-,-,"$18,000,000",13.56,16.01,Free Agent / Space,2021,Atlanta Hawks,,,,,,,,,,,,,,
3,Clint Capela,C,"$17,103,448","$17,103,448",-,"$2,000,000",-,"$17,103,448",12.88,15.21,Acquired via Trade,2021,Atlanta Hawks,,,,,,,,,,,,,,
4,Delon Wright,PG,"$8,526,316","$8,526,316",-,"$1,050,000",-,"$8,526,316",6.42,7.58,Acquired via Trade,2021,Atlanta Hawks,,,,,,,,,,,,,,
5,Trae Young,PG,"$8,326,471","$8,326,471",-,-,-,"$8,326,471",6.27,7.41,Drafted  / Rookie Scale,2021,Atlanta Hawks,,,,,,,,,,,,,,
6,De'Andre Hunter,SF,"$7,775,400","$7,775,400",-,-,-,"$7,775,400",5.86,6.92,Drafted  / Rookie Scale  Wrist Poison Pill: 7/1/23,2021,Atlanta Hawks,,,,,,,,,,,,,,
7,Onyeka Okongwu,PF,"$6,104,280","$6,104,280",-,-,-,"$6,104,280",4.6,5.43,Drafted  / Rookie Scale,2021,Atlanta Hawks,,,,,,,,,,,,,,
8,Kevin Knox,SF,"$5,845,978","$5,845,978",-,-,-,"$5,845,978",4.4,5.2,Acquired via Trade,2021,Atlanta Hawks,,,,,,,,,,,,,,
9,Louis Williams,SG,"$5,000,000","$5,000,000",-,-,-,"$5,000,000",3.77,4.45,Free Agent / Bird  Can Veto Trade,2021,Atlanta Hawks,,,,,,,,,,,,,,
10,Kevin Huerter,SG,"$4,253,357","$4,253,357",-,-,-,"$4,253,357",3.2,3.78,Drafted  / Rookie Scale,2021,Atlanta Hawks,,,,,,,,,,,,,,
11,Gorgui Dieng,C,"$4,000,000","$4,000,000",-,-,-,"$4,000,000",3.01,3.56,Free Agent / NT-MLE,2021,Atlanta Hawks,,,,,,,,,,,,,,
12,Jalen Johnson,SF,"$2,659,680","$2,659,680",-,-,-,"$2,659,680",2.0,2.37,Drafted  / Rookie Scale,2021,Atlanta Hawks,,,,,,,,,,,,,,
13,Timothe Luwawu-Cabarrot,SG,"$1,669,178","$1,939,350",-,-,-,"$1,669,178",1.26,1.48,Free Agent / Minimum,2021,Atlanta Hawks,,,,,,,,,,,,,,
14,Skylar Mays,SG,"$34,231","$34,231",-,-,-,"$34,231",0.03,0.03,RoS  / Minimum,2021,Atlanta Hawks,,,,,,,,,,,,,,
0,Chaundee Brown,SF,,,,,,,,,,2021,Atlanta Hawks,,,,,,,,,,,,,,
1,Sharife Cooper,PG,,,,,,,,,,2021,Atlanta Hawks,,,,,,,,,,,,,,
0,Kevin Garnett,PF,"$21,247,044","$15,691,186",-,-,-,"$21,247,044",27.76,36.61,Vet Extension  / G'teed: $0,2011,Boston Celtics,,,,,,,,,,,,,,
1,Paul Pierce,SF,"$15,333,334","$12,341,464",-,-,-,"$15,333,334",20.03,26.42,/ Bird G'teed: $0,2011,Boston Celtics,,,,,,,,,,,,,,
2,Rajon Rondo,PG,"$10,045,455","$8,085,366",-,-,-,"$10,045,455",13.12,17.31,Vet Extension  / Bird,2011,Boston Celtics,,,,,,,,,,,,,,
3,Ray Allen,SG,"$10,000,000","$8,048,780",-,-,-,"$10,000,000",13.06,17.23,/ G'teed: $0,2011,Boston Celtics,,,,,,,,,,,,,,
4,Jermaine O'Neal,C,"$6,226,000","$5,011,332",-,-,-,"$6,226,000",8.13,10.73,/ NT-MLE G'teed: $0,2011,Boston Celtics,,,,,,,,,,,,,,
5,Brandon Bass,PF,"$3,420,732","$3,219,512",-,-,-,"$3,420,732",4.47,5.89,Acquired via Trade,2011,Boston Celtics,,,,,,,,,,,,,,
6,Chris Wilcox,PF,"$3,000,000","$2,414,634",-,-,-,"$3,000,000",3.92,5.17,/ G'teed: $0,2011,Boston Celtics,,,,,,,,,,,,,,
7,Avery Bradley,SG,"$1,524,480","$1,227,020",-,-,-,"$1,524,480",1.99,2.63,Drafted  / Rookie Scale,2011,Boston Celtics,,,,,,,,,,,,,,
8,JaJuan Johnson,PF,"$1,042,320","$838,940",-,-,-,"$1,042,320",1.36,1.8,Drafted  / G'teed: $0,2011,Boston Celtics,,,,,,,,,,,,,,
9,Marquis Daniels,SF,"$854,389","$984,499",-,-,-,"$854,389",1.12,1.47,/ G'teed: $0,2011,Boston Celtics,,,,,,,,,,,,,,
10,Sasha Pavlovic,SG,"$854,389","$984,499",-,-,-,"$854,389",1.12,1.47,/ Minimum G'teed: $0,2011,Boston Celtics,,,,,,,,,,,,,,
11,Mickael Pietrus,SF,"$854,389","$984,499",-,-,-,"$854,389",1.12,1.47,/ Minimum G'teed: $0,2011,Boston Celtics,,,,,,,,,,,,,,
12,Greg Stiemsma,C,"$613,474","$613,474",-,-,-,"$613,474",0.8,1.06,/ G'teed: $0,2011,Boston Celtics,,,,,,,,,,,,,,
13,E'Twaun Moore,SG,"$381,193","$381,193",-,-,-,"$381,193",0.5,0.66,Drafted  / Minimum,2011,Boston Celtics,,,,,,,,,,,,,,
14,Carlos Arroyo,PG,"$358,292","$412,854",-,-,-,"$358,292",0.47,0.62,/ Minimum G'teed: $0,2011,Boston Celtics,,,,,,,,,,,,,,
15,Ryan Hollins,C,"$248,048","$248,048",-,-,-,"$248,048",0.32,0.43,/ G'teed: $0,2011,Boston Celtics,,,,,,,,,,,,,,
16,Sean Williams,PF,"$49,966","$40,217",-,-,-,"$49,966",0.07,0.09,/ Minimum G'teed: $0,2011,Boston Celtics,,,,,,,,,,,,,,
0,Rasheed Wallace,PF,"$491,109","$491,109",-,-,-,,,,Waived,2011,Boston Celtics,0.64,,,,,,,,,,,,,
0,Paul Pierce,SF,"$16,790,345","$16,790,345",-,-,-,"$16,790,345",23.46,28.93,/ Bird G'teed: $0,2012,Boston Celtics,,,,,,,,,,,,,,
1,Kevin Garnett,PF,"$11,566,265","$11,566,265",-,-,-,"$11,566,265",16.16,19.93,/ Bird G'teed: $0,2012,Boston Celtics,,,,,,,,,,,,,,
2,Rajon Rondo,PG,"$11,000,000","$11,000,000",-,-,-,"$11,000,000",15.37,18.95,Vet Extension  / Bird,2012,Boston Celtics,,,,,,,,,,,,,,
3,Jeff Green,SF,"$8,100,000","$8,100,000",-,-,-,"$8,100,000",11.32,13.95,/ Bird G'teed: $0,2012,Boston Celtics,,,,,,,,,,,,,,
4,Brandon Bass,PF,"$6,000,000","$6,000,000",-,-,-,"$6,000,000",8.38,10.34,/ Bird,2012,Boston Celtics,,,,,,,,,,,,,,
5,Courtney Lee,SG,"$5,000,000","$5,000,000",-,-,-,"$5,000,000",6.99,8.61,Acquired via Trade,2012,Boston Celtics,,,,,,,,,,,,,,
6,Jason Terry,SG,"$5,000,000","$5,000,000",-,-,-,"$5,000,000",6.99,8.61,/ NT-MLE G'teed: $0,2012,Boston Celtics,,,,,,,,,,,,,,
7,Avery Bradley,SG,"$1,630,800","$1,630,800",-,-,-,"$1,630,800",2.28,2.81,Drafted  / Rookie Scale,2012,Boston Celtics,,,,,,,,,,,,,,
8,Jared Sullinger,PF,"$1,306,920","$1,306,920",-,-,-,"$1,306,920",1.83,2.25,Drafted  / Rookie Scale G'teed: $0,2012,Boston Celtics,,,,,,,,,,,,,,
9,Fab Melo,C,"$1,254,720","$1,254,720",-,-,-,"$1,254,720",1.75,2.16,Drafted  / Rookie Scale G'teed: $0,2012,Boston Celtics,,,,,,,,,,,,,,
10,Jordan Crawford,SG,"$1,198,680","$1,198,680",-,-,-,"$1,198,680",1.67,2.07,Acquired via Trade,2012,Boston Celtics,,,,,,,,,,,,,,
11,Chris Wilcox,PF,"$854,389","$1,352,181",-,-,-,"$854,389",1.19,1.47,/ G'teed: $0,2012,Boston Celtics,,,,,,,,,,,,,,
12,Terrence Williams,SG,"$249,916","$249,916",-,-,-,"$249,916",0.35,0.43,/ Minimum G'teed: $0,2012,Boston Celtics,,,,,,,,,,,,,,
13,Shavlik Randolph,PF,"$163,500","$163,500",-,-,-,"$163,500",0.23,0.28,/ Minimum G'teed: $0,2012,Boston Celtics,,,,,,,,,,,,,,
14,D.J. White,PF,"$145,749","$156,234",-,-,-,"$145,749",0.2,0.25,/ Minimum G'teed: $0,2012,Boston Celtics,,,,,,,,,,,,,,
0,Keyon Dooling,SG,"$400,000","$400,000",-,-,-,,,,Waived,2012,Boston Celtics,0.56,,,,,,,,,,,,,
1,Dionte Christmas,SG,"$200,000","$200,000",-,-,-,,,,,2012,Boston Celtics,0.28,,,,,,,,,,,,,
2,Kris Joseph,SF,"$197,799","$197,799",-,-,-,,,,Waived,2012,Boston Celtics,0.28,,,,,,,,,,,,,
3,Darko Milicic,PF,"$180,773","$180,773",-,-,-,,,,Waived,2012,Boston Celtics,0.25,,,,,,,,,,,,,
4,Jarvis Varnado,PF,"$44,574","$44,574",-,-,-,,,,Waived,2012,Boston Celtics,0.06,,,,,,,,,,,,,
5,Jamar Smith,SG,"$25,000","$25,000",-,-,-,,,,Waived,2012,Boston Celtics,0.03,,,,,,,,,,,,,
6,Shavlik Randolph,PF,"$58,393","$58,393",-,-,-,,,,10-day,2012,Boston Celtics,0.08,,,,,,,,,,,,,
7,D.J. White,PF,"$53,874","$53,874",-,-,-,,,,10-day,2012,Boston Celtics,0.08,,,,,,,,,,,,,
8,D.J. White,PF,"$53,874","$53,874",-,-,-,,,,10-day,2012,Boston Celtics,0.08,,,,,,,,,,,,,
9,Shavlik Randolph,PF,"$50,258","$58,393",-,-,-,,,,10-day,2012,Boston Celtics,0.07,,,,,,,,,,,,,
10,Terrence Williams,SG,"$50,258","$52,066",-,-,-,,,,10-day,2012,Boston Celtics,0.07,,,,,,,,,,,,,
0,Kris Humphries,PF,"$12,000,000","$12,000,000",-,-,-,"$12,000,000",16.99,20.45,Acquired via Trade  G'teed: $0,2013,Boston Celtics,,,,,,,,,,,,,,
1,Rajon Rondo,PG,"$11,954,545","$11,954,545",-,-,-,"$11,954,545",16.92,20.37,Vet Extension  / Bird,2013,Boston Celtics,,,,,,,,,,,,,,
2,Gerald Wallace,SF,"$10,105,885","$10,105,885",-,-,-,"$10,105,885",14.31,17.22,Acquired via Trade  G'teed: $0,2013,Boston Celtics,,,,,,,,,,,,,,
3,Jeff Green,SF,"$8,700,000","$8,700,000",-,-,-,"$8,700,000",12.32,14.83,/ Bird G'teed: $0,2013,Boston Celtics,,,,,,,,,,,,,,
4,Brandon Bass,PF,"$6,450,000","$6,450,000",-,-,-,"$6,450,000",9.13,10.99,/ Bird,2013,Boston Celtics,,,,,,,,,,,,,,
5,Keith Bogans,SF,"$5,058,198","$5,058,198",-,-,-,"$5,058,198",7.16,8.62,Acquired via S&T  G'teed: $0,2013,Boston Celtics,,,,,,,,,,,,,,
6,Joel Anthony,C,"$3,800,000","$3,800,000",-,-,-,"$3,800,000",5.38,6.48,Acquired via Trade  G'teed: $0,2013,Boston Celtics,,,,,,,,,,,,,,
7,Jerryd Bayless,PG,"$3,135,000","$3,135,000",-,-,-,"$3,135,000",4.44,5.34,Acquired via Trade,2013,Boston Celtics,,,,,,,,,,,,,,
8,Avery Bradley,SG,"$2,511,432","$2,511,432",-,-,-,"$2,511,432",3.56,4.28,Drafted  / Rookie Scale,2013,Boston Celtics,,,,,,,,,,,,,,
9,Vitor Faverani,C,"$2,000,000","$2,000,000",-,-,-,"$2,000,000",2.83,3.41,/ Space G'teed: $0,2013,Boston Celtics,,,,,,,,,,,,,,
10,Kelly Olynyk,C,"$1,986,360","$1,986,360",-,-,-,"$1,986,360",2.81,3.39,Drafted  / Rookie Scale,2013,Boston Celtics,,,,,,,,,,,,,,
11,Jared Sullinger,PF,"$1,365,720","$1,365,720",-,-,-,"$1,365,720",1.93,2.33,Drafted  / Rookie Scale G'teed: $0,2013,Boston Celtics,,,,,,,,,,,,,,
12,Phil Pressey,PG,"$490,180","$490,180",-,-,-,"$490,180",0.69,0.84,Drafted  / Minimum G'teed: $0,2013,Boston Celtics,,,,,,,,,,,,,,
13,Christapher Johnson,SF,"$320,189","$320,189",-,-,-,"$320,189",0.45,0.55,/ Minimum G'teed: $0,2013,Boston Celtics,,,,,,,,,,,,,,
14,Chris Babb,SG,"$77,852","$77,852",-,-,-,"$77,852",0.11,0.13,/ Minimum G'teed: $0,2013,Boston Celtics,,,,,,,,,,,,,,
0,Ryan Gomes,SF,"$509,479","$509,479",-,-,-,,,,Waived,2013,Boston Celtics,0.72,,,,,,,,,,,,,
1,Christapher Johnson,SF,"$46,404","$46,404",-,-,-,,,,10-day,2013,Boston Celtics,0.07,,,,,,,,,,,,,
2,Christapher Johnson,SF,"$46,404","$46,404",-,-,-,,,,10-day,2013,Boston Celtics,0.07,,,,,,,,,,,,,
3,Chris Babb,SG,"$28,834","$28,834",-,-,-,,,,10-day,2013,Boston Celtics,0.04,,,,,,,,,,,,,
4,Chris Babb,SG,"$28,834","$28,834",-,-,-,,,,10-day,2013,Boston Celtics,0.04,,,,,,,,,,,,,
5,Vander Blue,SG,"$28,834","$28,834",-,-,-,,,,10-day,2013,Boston Celtics,0.04,,,,,,,,,,,,,
0,Gerald Wallace,SF,"$10,105,855","$10,105,855",-,-,-,"$10,105,855",16.73,16.02,Acquired via Trade  G'teed: $0,2014,Boston Celtics,,,,,,,,,,,,,,
1,Isaiah Thomas,PG,"$7,238,606","$7,238,606",-,-,-,"$7,238,606",11.98,11.48,Acquired via Trade,2014,Boston Celtics,,,,,,,,,,,,,,
2,Avery Bradley,SG,"$7,191,011","$7,191,011",-,-,-,"$7,191,011",11.91,11.4,/ Bird,2014,Boston Celtics,,,,,,,,,,,,,,
3,Brandon Bass,PF,"$6,900,000","$6,900,000",-,-,-,"$6,900,000",11.42,10.94,/ Bird,2014,Boston Celtics,,,,,,,,,,,,,,
4,Jonas Jerebko,PF,"$4,500,000","$4,500,000",-,-,-,"$4,500,000",7.45,7.14,Acquired via Trade  G'teed: $0,2014,Boston Celtics,,,,,,,,,,,,,,
5,Marcus Smart,PG,"$3,283,320","$3,283,320",-,-,-,"$3,283,320",5.44,5.21,Drafted  / Rookie Scale,2014,Boston Celtics,,,,,,,,,,,,,,
6,Evan Turner,SG,"$3,278,000","$3,278,000",-,-,-,"$3,278,000",5.43,5.2,/ NT-MLE,2014,Boston Celtics,,,,,,,,,,,,,,
7,Kelly Olynyk,C,"$2,075,760","$2,075,760",-,-,-,"$2,075,760",3.44,3.29,Drafted  / Rookie Scale,2014,Boston Celtics,,,,,,,,,,,,,,
8,Luigi Datome,SF,"$1,750,000","$1,750,000",-,-,-,"$1,750,000",2.9,2.77,Acquired via Trade  G'teed: $0,2014,Boston Celtics,,,,,,,,,,,,,,
9,Tyler Zeller,C,"$1,703,760","$1,703,760",-,-,-,"$1,703,760",2.82,2.7,Acquired via Trade,2014,Boston Celtics,,,,,,,,,,,,,,
10,James Young,SG,"$1,674,480","$1,674,480",-,-,-,"$1,674,480",2.77,2.66,Drafted  / Rookie Scale G'teed: $0,2014,Boston Celtics,,,,,,,,,,,,,,
11,Jared Sullinger,PF,"$1,424,520","$1,424,520",-,-,-,"$1,424,520",2.36,2.26,Drafted  / Rookie Scale G'teed: $0,2014,Boston Celtics,,,,,,,,,,,,,,
12,Jae Crowder,SF,"$915,243","$915,243",-,-,-,"$915,243",1.52,1.45,Acquired via Trade,2014,Boston Celtics,,,,,,,,,,,,,,
13,Phil Pressey,PG,"$816,482","$816,482",-,-,-,"$816,482",1.35,1.29,Drafted  / Minimum G'teed: $0,2014,Boston Celtics,,,,,,,,,,,,,,
14,Chris Babb,SG,"$48,028","$48,028",-,-,-,"$48,028",0.08,0.08,/ Minimum G'teed: $0,2014,Boston Celtics,,,,,,,,,,,,,,
0,Will Bynum,PG,"$2,915,908","$2,915,908",-,-,-,,,,Waived,2014,Boston Celtics,4.83,,,,,,,,,,,,,
1,Vitor Faverani,C,"$2,090,000","$2,090,000",-,-,-,,,,Waived,2014,Boston Celtics,3.46,,,,,,,,,,,,,
2,Nate Robinson,PG,"$1,417,332","$1,417,332",-,-,-,,,,Waived,2014,Boston Celtics,2.35,,,,,,,,,,,,,
3,Chris Douglas-Roberts,SG,"$915,243","$948,163",-,-,-,,,,Waived,2014,Boston Celtics,1.52,,,,,,,,,,,,,
4,Erik Murphy,PF,"$100,000","$100,000",-,-,-,,,,Waived,2014,Boston Celtics,0.17,,,,,,,,,,,,,
5,Andre Dawkins,SG,"$29,843","$29,843",-,-,-,,,,10-day,2014,Boston Celtics,0.05,,,,,,,,,,,,,
6,Andre Dawkins,SG,"$29,843","$29,843",-,-,-,,,,10-day,2014,Boston Celtics,0.05,,,,,,,,,,,,,
0,Amir Johnson,PF,"$12,000,000","$12,000,000",-,-,-,"$12,000,000",15.11,17.14,/ Space,2015,Boston Celtics,,,,,,,,,,,,,,
1,Avery Bradley,SG,"$7,730,337","$7,730,337",-,-,-,"$7,730,337",9.73,11.04,/ Bird,2015,Boston Celtics,,,,,,,,,,,,,,
2,Isaiah Thomas,PG,"$6,912,869","$6,912,869",-,-,-,"$6,912,869",8.7,9.88,Acquired via Trade,2015,Boston Celtics,,,,,,,,,,,,,,
3,Jae Crowder,SF,"$6,796,117","$6,796,117",-,-,-,"$6,796,117",8.55,9.71,/ Bird,2015,Boston Celtics,,,,,,,,,,,,,,
4,Jonas Jerebko,PF,"$5,000,000","$5,000,000",-,-,-,"$5,000,000",6.29,7.14,/ Bird G'teed: $0,2015,Boston Celtics,,,,,,,,,,,,,,
5,Marcus Smart,PG,"$3,431,040","$3,431,040",-,-,-,"$3,431,040",4.32,4.9,Drafted  / Rookie Scale,2015,Boston Celtics,,,,,,,,,,,,,,
6,Evan Turner,SG,"$3,425,510","$3,425,510",-,-,-,"$3,425,510",4.31,4.89,/ NT-MLE,2015,Boston Celtics,,,,,,,,,,,,,,
7,Tyler Zeller,C,"$2,616,975","$2,616,975",-,-,-,"$2,616,975",3.29,3.74,Acquired via Trade,2015,Boston Celtics,,,,,,,,,,,,,,
